filename,smiles
0.json,CC1CCC1
1.json,N#[N+][O-]
2.json,O=S(=O)(F)F
3.json,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
4.json,BrBr
5.json,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
6.json,CN(C)C
7.json,ClC(Cl)(Cl)Cl
8.json,II
9.json,C#C
10.json,CC(Cl)Cl
11.json,CC(CO)(CO)[N+](=O)[O-]
12.json,Clc1cccs1
13.json,CCCOC(=O)CC
14.json,C=C(C)OC(C)=O
15.json,CCCOC=O
16.json,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
17.json,CCc1cccc(CC)c1
18.json,CC(=O)CCC=C(C)C
19.json,CCC(C)(C)C(C)C
20.json,CCCC(C)(C)CC
21.json,CCCCC(C)(C)C
22.json,C=C(C)C(C)(C)C
23.json,CCC(CC)C(C)C
24.json,CCCCSCC
25.json,CCc1ccc(C)c(C)c1
26.json,CCC(C)(CC)CC
27.json,CC(C)CC(C)C(C)C
28.json,CC(C)CCCC(C)C
29.json,CC1=C(C)CCCC1
30.json,CCCC1CCCCC1
31.json,ClC(Cl)=C(Cl)C(Cl)(Cl)Cl
32.json,CCc1cc(C)cc(CC)c1
33.json,C=C(C)CC(C)C
34.json,CCCC(C)=C(C)C
35.json,CC(C)C(C)(C)C(C)C
36.json,CCC1=CCCCC1
37.json,ClCC1CC1
38.json,CCC1CCCC1C
39.json,CC(C)C1CC1
40.json,CC#CCC(C)C
41.json,CCC1CCC1
42.json,CC=CCCC
43.json,COCCOC(C)=O
44.json,CCc1cccnc1
45.json,C1CCSC1
46.json,ClCBr
47.json,CC1CO1
48.json,C=CC(=C)C
49.json,CCC(C)OC(C)=O
50.json,CCCCCCC(=O)OCC
51.json,CCCC#N
52.json,CCSCC
53.json,CCSC
54.json,C#CCCCC
55.json,CCC#CCCCC
56.json,CCc1ccc(C)nc1
57.json,CCc1ccccc1Br
58.json,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
59.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
60.json,CCc1ccccc1
61.json,CCCCCl
62.json,C1=CCCC1
63.json,CCCCc1ccccc1
64.json,COCCO
65.json,CC1=CC(=O)CC(C)(C)C1
66.json,BrCCBr
67.json,C=CCCCCCCCCCCCCCC
68.json,CCCCCCCCCCCCCCC
69.json,CC(C)OC(=O)/C=C/C(=O)OC(C)C
70.json,CCc1ccccn1
71.json,ClCCCBr
72.json,COC(=O)C(Cl)Cl
73.json,CC(c1ccccc1)c1ccccc1
74.json,CCc1ccc(C)cc1C
75.json,CCC(CC)(CC)CC
76.json,C=Cc1ccccc1Cl
77.json,CCCCCCCCCS
78.json,CCCCCCCCC(C)C
79.json,O=S(=O)(Cl)Cl
80.json,NCc1cccnc1
81.json,COC(=O)CCl
82.json,CC(=O)OCCc1ccccc1
83.json,CC(C)c1cccc(C(C)C)c1
84.json,Cc1cccnc1
85.json,CCCCCCCCCCCCCCCC
86.json,C1CC[C@H]2CCCC[C@H]2C1
87.json,COC(=O)CC(=O)OC
88.json,CCc1ccc2ccccc2c1
89.json,CC1CC1
90.json,O=[N+]([O-])c1cccc(S(=O)(=O)Cl)c1
91.json,CCc1ccc(CC)cc1
92.json,CC(F)(F)Cl
93.json,O=C=S
94.json,CC1CC=CC1
95.json,CCC1(C)CCCC1
96.json,CCC1CC1
97.json,CCC1(C)CC1
98.json,CC1CC1(C)C
99.json,C=CC=CC
99.json,CCc1ccccc1Br
100.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
101.json,CCc1ccccc1
102.json,CCCCc1ccccc1
103.json,CC(c1ccccc1)c1ccccc1
104.json,CC(=O)OCCc1ccccc1
105.json,Cc1cccc(C)c1I
106.json,Cc1ccccc1C
107.json,C=C(C)c1ccccc1
108.json,CCc1ccccc1CC
109.json,N#CCc1ccccc1
110.json,OCc1ccccc1
111.json,Cc1ccccc1-c1ccccc1
112.json,CC(C)(C)c1ccccc1O
113.json,CCC(=O)c1ccc(C)cc1
114.json,Fc1ccc(-c2ccccc2)cc1
115.json,C#Cc1ccccc1
116.json,COC(=O)c1ccc(I)cc1
117.json,O=C(O)CCCC(=O)c1ccccc1
118.json,Nc1ccccc1
119.json,N#CC(c1ccccc1)c1ccccc1
120.json,O=C(Cl)c1cc(C(=O)Cl)cc(C(=O)Cl)c1
121.json,CCc1ccccc1Cl
122.json,CC(=O)OCc1ccccc1
123.json,CC(=O)OO
124.json,Ic1ccccc1
125.json,N#Cc1ccccc1
126.json,NC(=O)c1cccc(Br)c1
127.json,CCOC(=O)Cc1ccccc1
128.json,CCCCOc1ccccc1
129.json,Brc1ccccc1
130.json,CC(=O)O
131.json,CCCCC(=O)c1ccccc1
132.json,Cc1ccccc1Cc1ccccc1
133.json,CCC(=O)O
134.json,Cc1ccc(Cc2ccccc2)cc1
135.json,NCC(O)c1ccccc1
136.json,O=C(O)c1ccccn1
137.json,O=C(O)Cc1ccc(-c2ccccc2)cc1
138.json,CC(=O)NBr
139.json,O=C1c2ccccc2C(=O)C1c1ccccc1
140.json,Cc1cccc(C(=O)O)c1O
141.json,O=C(Nc1ccccc1)c1ccccc1O
142.json,CC(=O)c1cccs1
143.json,Nc1nc(N)nc(-c2ccccc2)n1
144.json,O=C(OC(=O)c1ccccc1)c1ccccc1
145.json,O=C(Cl)c1cccc(C(=O)Cl)c1
146.json,CC(=O)NNc1ccccc1
147.json,CCOC(=O)c1ccc(O)cc1
148.json,CC(=O)Nc1cccc(C(F)(F)F)c1
149.json,O=C(O)c1cccc(C(F)(F)F)c1
150.json,O=C(O)c1ccnc2ccccc12
151.json,O=C(O)c1ccoc1
152.json,c1ccc(CSCc2ccccc2)cc1
153.json,CC(=O)Oc1ccccc1[N+](=O)[O-]
154.json,CCc1ccc(C(=O)O)cc1
155.json,CN(C)c1ccc(C(=O)O)cc1
156.json,OC(COc1ccccc1)COc1ccccc1
157.json,CC(=O)Oc1ccccc1OC(C)=O
158.json,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
159.json,CC(=O)Oc1cccc2ccccc12
160.json,NNC(=O)c1ccccc1O
161.json,CC(Oc1ccccc1)C(=O)O
162.json,Nc1ccc(C(=O)c2ccccc2)cc1
163.json,CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1O
164.json,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1
165.json,CC(=O)c1cccc(Br)c1
166.json,O=C(O)c1cc[n+]([O-])cc1
167.json,O=S(=O)(c1ccccc1)c1ccccc1
168.json,Cc1cc(C=O)c(C)n1-c1ccccc1
169.json,Cc1ccc(C)n1-c1ccccc1
170.json,COC(=O)c1ccccc1OC(C)=O
171.json,COc1ccc(C(=O)c2ccccc2)cc1
172.json,CCOC(=O)c1cccnc1
173.json,COC(=O)c1cccc(I)c1
174.json,O=C(c1ccccc1)c1cccc(C(F)(F)F)c1
175.json,NC(=O)c1ccc(F)cc1
176.json,Cc1cc(C(=O)O)ccc1N
177.json,O=C1CCC(c2ccccc2)CC1
178.json,CC(=O)c1ccc(Br)s1
179.json,O=C(O)CCOc1ccccc1
180.json,CSc1ccc(C(=O)O)cc1
181.json,NC(=O)c1c(F)cccc1F
182.json,Cc1c(C(=O)O)cnn1-c1ccccc1
183.json,COC(=O)c1c[nH]c2ccccc12
184.json,O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1
185.json,CC(=O)Nc1cccc(C)c1
186.json,COC(=O)c1cccnc1
187.json,CC(=O)c1cc(C)c(C)cc1C
188.json,O=C(c1ccccc1)C(Cl)Cl
189.json,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1
190.json,O=Cc1ccccc1C=O
191.json,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
192.json,O=C(O)C(Br)(Br)Br
193.json,O=S(=O)(Cl)c1ccccc1
194.json,CC(=O)c1ccc(Br)cc1
195.json,CCOc1ccccc1
196.json,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
197.json,c1ccc(P(c2ccccc2)c2ccccc2)cc1
198.json,Cc1cccc(-c2ccccc2)c1
199.json,NC(=O)c1ccc(O)cc1
200.json,CCOC(=O)C(C(=O)OCC)c1ccccc1
201.json,COc1ccc(C(C)=O)cc1
202.json,CCC1(c2ccccc2)C(=O)NCNC1=O
203.json,CC(=O)CCl
204.json,COc1ccccc1
205.json,COC(=O)c1ccccc1N
206.json,NC(=O)c1cccnc1
207.json,O=C(C(=O)c1ccccc1)c1ccccc1
208.json,NC(=O)c1ccccc1[N+](=O)[O-]
209.json,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1
210.json,NNc1ccccc1
211.json,CCOc1ccccc1C(=O)O
212.json,CCC(c1ccccc1)c1ccccc1
213.json,CC(C)OC(=O)Nc1ccccc1
214.json,OC(c1ccccc1)c1ccc(Cl)cc1
215.json,COC(=O)C(O)(c1ccccc1)c1ccccc1
216.json,CC(=O)Cl
217.json,CCN(CC)c1ccccc1
218.json,Clc1ccc(-c2ccccc2)cc1
219.json,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
220.json,O=C(O)c1cccc(Cl)c1Cl
221.json,Cc1ccc(C(=O)O)c(O)c1
222.json,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1
223.json,O=C(O)c1ccsc1
224.json,O=C(c1ccccc1)c1ccccn1
225.json,N=C(Nc1ccccc1)Nc1ccccc1
226.json,O=C(c1ccccc1)c1ccccc1O
227.json,O=C(O)c1c(F)cccc1F
228.json,O=C(Cl)c1ccccc1F
229.json,O=C(O)c1cccc(F)c1
230.json,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
231.json,NC(=O)NCc1ccccc1
232.json,Cc1cccc(C(=O)O)c1C
233.json,O=C(O)C(=O)c1ccccc1
234.json,Cc1ccc(C(=O)O)cc1C
235.json,[O-][S+](Cc1ccccc1)Cc1ccccc1
236.json,CCOc1cccc(C(=O)O)c1
237.json,NC(=O)OCc1ccccc1
238.json,CCCOc1ccccc1
239.json,CC(CC(=O)O)CC(=O)O
240.json,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
241.json,CCOC(=O)c1ccc(C(=O)OCC)cc1
242.json,Cc1ccc(C(=O)Cl)cc1
243.json,CC(=O)c1ccncc1
244.json,NC(=O)c1ccncc1
245.json,COC(=O)c1ccc(C(=O)O)cc1
246.json,O=P(O)(c1ccccc1)c1ccccc1
247.json,COc1cccc(OC)c1C(C)=O
248.json,O=C(O)Cc1ccccc1Cl
249.json,CCOC(=O)c1ccccn1
250.json,N#CSCc1ccccc1
251.json,CS(=O)(=O)c1ccccc1
252.json,O=C(O)c1ccc(C(=O)O)s1
253.json,Cc1cccc(C(=O)O)c1[N+](=O)[O-]
254.json,NC(=O)c1cccs1
255.json,O=C(Cl)c1ccccc1Br
256.json,O=C(O)CSc1ccccc1
257.json,O=c1c(-c2ccccc2)c1-c1ccccc1
258.json,NNS(=O)(=O)c1ccccc1
259.json,O=C(Cl)N(c1ccccc1)c1ccccc1
260.json,O=C(c1ccccc1)c1cccc(Cl)c1
261.json,O=C(O)CSCc1ccccc1
262.json,O=C(O)c1ccc(OC(F)(F)F)cc1
263.json,O=C(Cl)c1ccc(F)cc1
264.json,NC(=O)c1cccc(Cl)c1
265.json,Cc1ccc(C(=O)CBr)cc1
266.json,O=S(=O)(Cc1ccccc1)Cc1ccccc1
267.json,NC(=O)Oc1ccccc1
268.json,c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1
269.json,O=C(O)C#Cc1ccccc1
270.json,O=C(c1cccs1)c1cccs1
271.json,CC(=O)c1ccc(C(F)(F)F)cc1
272.json,O=C(c1ccccc1)c1ccccc1C(F)(F)F
273.json,COc1ccc(C(C)=O)c(OC)c1
274.json,COc1cccc(C(=O)O)c1O
275.json,Cc1ccc(OCC(=O)O)cc1
276.json,O=C(c1ccccc1)c1ccc([N+](=O)[O-])cc1
277.json,BrCCCCOc1ccccc1
278.json,COc1ccc(OC)c(C(C)=O)c1
279.json,CC(Oc1ccccc1Cl)C(=O)O
280.json,O=C(O)CCC(=O)c1ccccc1
281.json,N#Cc1ccccc1C(N)=O
282.json,O=C(NCc1ccccc1)c1ccccc1
283.json,O=C(c1ccccc1)c1ccc(-c2ccccc2)cc1
284.json,O=C(Cl)c1ccc2ccccc2c1
285.json,OCc1ccccc1-c1ccccc1
286.json,O=C(O)c1ccc(CO)cc1
287.json,O=Cc1ccc(-c2ccccc2)cc1
288.json,SC(c1ccccc1)(c1ccccc1)c1ccccc1
289.json,C=CS(=O)(=O)c1ccccc1
290.json,NNC(=O)c1ccccc1Cl
291.json,O=C(O)Cc1c(Cl)cccc1Cl
292.json,CC(=O)Oc1ccc(C(C)=O)cc1
293.json,CCc1ccccc1Br
294.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
295.json,CCc1ccccc1
296.json,CCCCc1ccccc1
297.json,CC(c1ccccc1)c1ccccc1
298.json,CC(=O)OCCc1ccccc1
299.json,CCc1ccccc1Br
300.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
301.json,CCc1ccccc1
302.json,CCCCc1ccccc1
303.json,CC(c1ccccc1)c1ccccc1
304.json,CC(=O)OCCc1ccccc1
305.json,CCc1ccccc1Br
306.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
307.json,CCc1ccccc1
308.json,CCCCc1ccccc1
309.json,CC(c1ccccc1)c1ccccc1
310.json,CC(=O)OCCc1ccccc1
311.json,CCc1ccccc1Br
312.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
313.json,CCc1ccccc1
314.json,CCCCc1ccccc1
315.json,CC(c1ccccc1)c1ccccc1
316.json,CC(=O)OCCc1ccccc1
317.json,CCc1ccccc1Br
318.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
319.json,CCc1ccccc1
320.json,CCCCc1ccccc1
321.json,CC(c1ccccc1)c1ccccc1
322.json,CC(=O)OCCc1ccccc1
323.json,CCc1ccccc1Br
324.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
325.json,CCc1ccccc1
326.json,CCCCc1ccccc1
327.json,CC(c1ccccc1)c1ccccc1
328.json,CC(=O)OCCc1ccccc1
329.json,CCc1ccccc1Br
330.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
331.json,CCc1ccccc1
332.json,CCCCc1ccccc1
333.json,CC(c1ccccc1)c1ccccc1
334.json,CC(=O)OCCc1ccccc1
335.json,CCc1ccccc1Br
336.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
337.json,CCc1ccccc1
338.json,CCCCc1ccccc1
339.json,CC(c1ccccc1)c1ccccc1
340.json,CC(=O)OCCc1ccccc1
341.json,CCc1ccccc1Br
342.json,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
343.json,CCc1ccccc1
344.json,CCCCc1ccccc1
345.json,CC(c1ccccc1)c1ccccc1
346.json,CC(=O)OCCc1ccccc1
